time,accel_x,accel_y,accel_z,pitch,roll,yaw,temperature,pressure,humidity
33:06.6,-1.001412272,-0.027982203,-0.083395891,84.9892118,198.1990477,128.3767522,26.50733185,990.8469238,51.06576538
33:06.7,-1.00116539,-0.02291646,-0.086288236,84.98460143,198.0361477,128.2158603,26.52539444,990.8486328,50.07763672
33:06.7,-1.000671744,-0.02412259,-0.086529262,84.97843377,197.9055954,128.0837918,26.52539444,990.8459473,50.07763672
33:06.7,-1.002893209,-0.020504201,-0.084118977,84.97944463,197.7431735,127.9234053,26.52539444,990.8439941,50.53708649
33:06.8,-1.001659036,-0.021227879,-0.089180574,84.98186935,197.6409393,127.8194498,26.52539444,990.842041,50.53708649
33:06.8,-0.996969163,-0.025328718,-0.088216469,84.99453252,197.7639373,127.9396475,26.45314789,990.8369141,53.31580734
33:06.9,-8.072266579,-0.775782466,0.260511935,84.96020399,200.1146426,130.3725335,26.48927116,990.8400879,49.65280533
33:06.9,-8.087323189,-0.057894215,0.670410037,85.15883272,201.7083989,131.5930883,26.48927116,990.8259277,49.65280533
33:07.0,-8.087323189,-0.320106745,-0.185109958,85.22623303,206.2973571,132.4512606,26.47121048,990.8066406,51.73920441
33:07.0,-8.087323189,-0.177059814,-0.133047774,85.15571816,208.3940886,131.5884301,26.47121048,990.7893066,51.73920441
33:07.1,-8.087323189,0.014567555,-0.135699093,85.18655646,209.7345815,131.1142784,26.59764099,990.7966309,50.93359756
33:07.1,-8.087323189,0.104643598,0.063604884,85.13268676,211.3557132,131.0913153,26.59764099,990.7861328,50.93359756
33:07.2,-8.087323189,0.040303569,-0.057364807,84.91808221,213.7665924,131.5845233,26.48927116,990.720459,51.18534851
33:07.2,-8.087323189,0.046858966,-0.031333715,84.7139825,216.3248261,132.3531381,26.41702461,990.689209,51.04059219
33:07.2,-8.087323189,0.102215678,0.027050352,84.4380292,219.0320399,132.9856273,26.41702461,990.6577148,51.04059219
33:07.3,-8.087323189,0.055842295,0.050445247,84.14308114,221.9394875,133.8835103,26.54345512,990.6230469,51.74864578
33:07.3,-8.087323189,0.091290005,0.072865352,83.84622746,226.0270006,135.6538953,26.54345512,990.576416,51.74864578
33:07.4,-8.087323189,0.112412959,0.117218181,83.61908269,231.0237074,138.2445178,26.52539444,990.5283203,50.98394775
33:07.4,-8.087323189,0.102944054,0.002436968,83.33750131,236.9916945,141.3209989,26.52539444,990.4685059,50.98394775
33:07.5,-8.087323189,0.216570973,0.079932563,83.02624276,242.9359398,144.228064,26.61570168,990.3132324,51.5566864
33:07.5,-8.087323189,0.301548362,-0.084842063,82.69346228,249.2097145,146.231099,26.61570168,990.2167969,51.5566864
33:07.6,-8.087323189,0.343308717,-0.042903088,82.70189757,253.9205984,146.8121022,26.52539444,990.1052246,50.64722824
33:07.6,-8.087323189,0.378028035,-0.014702744,82.81110546,258.8180284,146.2626544,26.50733185,989.9980469,51.52521515
33:07.7,-8.087323189,0.298392087,-0.108221836,83.04934929,262.7714102,144.6770943,26.50733185,989.8852539,51.52521515
33:07.7,-8.087323189,0.200061083,-0.000964114,83.23809474,266.8815039,143.076139,26.56151772,989.7558594,50.89583588
33:07.7,-8.087323189,0.177966952,-0.053990405,83.30024946,271.5350415,141.2040661,26.56151772,989.6074219,50.89583588
33:07.8,-8.087323189,0.186950281,-0.013256572,83.25462379,276.6696636,138.9180564,26.54345512,989.2983398,50.54967499
33:07.8,-8.087323189,0.193748474,0.017302478,83.14885831,281.7821353,136.6783008,26.54345512,989.1176758,50.54967499
33:07.9,-8.087323189,0.259302467,0.008773087,83.01531446,286.8477861,134.3914988,26.50733185,988.9287109,51.07521057
33:07.9,-8.087323189,0.25177592,0.109907277,82.8047807,293.7709614,132.0630873,26.54345512,988.7229004,49.24370575
33:08.0,-8.087323189,0.450865805,-0.102437146,82.80996482,300.3760822,130.0488782,26.54345512,988.5073242,49.24370575
33:08.0,-8.087323189,0.428286105,-0.044349261,82.54677714,310.7103223,124.5716265,26.50733185,988.2695313,52.55425262
33:08.1,-8.087323189,0.402064502,0.049226761,82.29908033,325.8307971,115.2229964,26.50733185,987.7587891,52.55425262
33:08.1,-8.087323189,0.415175319,0.183991119,82.42482411,340.1503194,106.9334758,26.47121048,987.4504395,49.47657776
33:08.1,-8.087323189,0.396723092,0.284881622,82.7741678,356.5680532,100.6528778,26.47121048,987.1784668,49.47657776
33:08.2,-8.087323189,0.364917248,0.383578837,83.16947183,12.8802051,95.2365856,26.5795784,986.8820801,50.39862061
