Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total acceleration (ft/s²),Mass (oz),Propellant mass (oz),Thrust (N),Drag force (N),Drag coefficient (​)
14.664,4844.6,83.247,-32.719,32.719,740.59,0,0,3.8872,0.58678
14.674,4845.5,82.92,-32.714,32.714,740.59,0,0,3.8566,0.58677
14.684,4846.3,82.593,-32.709,32.709,740.59,0,0,3.8261,0.58676
14.694,4847.1,82.266,-32.705,32.705,740.59,0,0,3.7957,0.58676
14.704,4847.9,81.939,-32.7,32.7,740.59,0,0,3.7654,0.58675
14.714,4848.8,81.612,-32.695,32.695,740.59,0,0,3.7353,0.58674
14.724,4849.6,81.285,-32.691,32.691,740.59,0,0,3.7053,0.58674
14.734,4850.4,80.958,-32.686,32.686,740.59,0,0,3.6754,0.58673
14.744,4851.2,80.631,-32.681,32.681,740.59,0,0,3.6457,0.58672
14.754,4852,80.305,-32.677,32.677,740.59,0,0,3.6161,0.58672
14.764,4852.8,79.978,-32.672,32.672,740.59,0,0,3.5866,0.58671
14.774,4853.6,79.651,-32.667,32.667,740.59,0,0,3.5572,0.5867
14.784,4854.4,79.324,-32.663,32.663,740.59,0,0,3.528,0.5867
14.794,4855.2,78.998,-32.658,32.658,740.59,0,0,3.4989,0.58669
14.804,4856,78.671,-32.654,32.654,740.59,0,0,3.4699,0.58668
14.814,4856.8,78.345,-32.649,32.649,740.59,0,0,3.441,0.58668
14.824,4857.5,78.018,-32.645,32.645,740.59,0,0,3.4123,0.58667
14.834,4858.3,77.692,-32.64,32.64,740.59,0,0,3.3837,0.58667
14.844,4859.1,77.366,-32.636,32.636,740.59,0,0,3.3552,0.58666
14.854,4859.9,77.039,-32.631,32.631,740.59,0,0,3.3268,0.58665
14.864,4860.6,76.713,-32.627,32.627,740.59,0,0,3.2986,0.58665
14.874,4861.4,76.387,-32.623,32.623,740.59,0,0,3.2705,0.58664
14.884,4862.2,76.06,-32.618,32.618,740.59,0,0,3.2425,0.58663
14.894,4862.9,75.734,-32.614,32.614,740.59,0,0,3.2146,0.58663
14.904,4863.7,75.408,-32.61,32.61,740.59,0,0,3.1869,0.58662
14.914,4864.4,75.082,-32.605,32.605,740.59,0,0,3.1593,0.58662
14.924,4865.2,74.756,-32.601,32.601,740.59,0,0,3.1318,0.58661
14.934,4865.9,74.43,-32.597,32.597,740.59,0,0,3.1045,0.5866
14.944,4866.7,74.104,-32.592,32.592,740.59,0,0,3.0772,0.5866
14.954,4867.4,73.778,-32.588,32.588,740.59,0,0,3.0501,0.58659
14.964,4868.1,73.452,-32.584,32.584,740.59,0,0,3.0231,0.58659
14.974,4868.9,73.127,-32.58,32.58,740.59,0,0,2.9963,0.58658
14.984,4869.6,72.801,-32.576,32.576,740.59,0,0,2.9695,0.58657
14.994,4870.3,72.475,-32.571,32.571,740.59,0,0,2.9429,0.58657
15.004,4871,72.149,-32.567,32.567,740.59,0,0,2.9165,0.58656
15.014,4871.8,71.824,-32.563,32.563,740.59,0,0,2.8901,0.58656
15.024,4872.5,71.498,-32.559,32.559,740.59,0,0,2.8639,0.58655
15.034,4873.2,71.172,-32.555,32.555,740.59,0,0,2.8377,0.58655
15.044,4873.9,70.847,-32.551,32.551,740.59,0,0,2.8118,0.58654
15.054,4874.6,70.521,-32.547,32.547,740.59,0,0,2.7859,0.58653
15.064,4875.3,70.196,-32.543,32.543,740.59,0,0,2.7602,0.58653
15.074,4876,69.871,-32.539,32.539,740.59,0,0,2.7345,0.58652
15.084,4876.7,69.545,-32.535,32.535,740.59,0,0,2.709,0.58652
15.094,4877.4,69.22,-32.531,32.531,740.59,0,0,2.6837,0.58651
15.104,4878.1,68.895,-32.527,32.527,740.59,0,0,2.6584,0.58651
15.114,4878.8,68.569,-32.523,32.523,740.59,0,0,2.6333,0.5865
15.124,4879.5,68.244,-32.519,32.519,740.59,0,0,2.6083,0.58649
15.134,4880.2,67.919,-32.515,32.515,740.59,0,0,2.5834,0.58649
15.144,4880.8,67.594,-32.511,32.511,740.59,0,0,2.5587,0.58648
15.154,4881.5,67.269,-32.507,32.507,740.59,0,0,2.5341,0.58648
15.164,4882.2,66.944,-32.504,32.504,740.59,0,0,2.5096,0.58647
15.174,4882.8,66.619,-32.5,32.5,740.59,0,0,2.4852,0.58647
15.184,4883.5,66.294,-32.496,32.496,740.59,0,0,2.4609,0.58646
15.194,4884.2,65.969,-32.492,32.492,740.59,0,0,2.4368,0.58646
15.204,4884.8,65.644,-32.488,32.488,740.59,0,0,2.4128,0.58645
15.214,4885.5,65.319,-32.485,32.485,740.59,0,0,2.3889,0.58645
15.224,4886.1,64.994,-32.481,32.481,740.59,0,0,2.3651,0.58644
15.234,4886.8,64.669,-32.477,32.477,740.59,0,0,2.3415,0.58644
15.244,4887.4,64.345,-32.474,32.474,740.59,0,0,2.3179,0.58643
15.254,4888.1,64.02,-32.47,32.47,740.59,0,0,2.2945,0.58643
15.264,4888.7,63.695,-32.466,32.466,740.59,0,0,2.2713,0.58642
15.274,4889.3,63.371,-32.463,32.463,740.59,0,0,2.2481,0.58641
15.284,4890,63.046,-32.459,32.459,740.59,0,0,2.2251,0.58641
15.294,4890.6,62.721,-32.456,32.456,740.59,0,0,2.2022,0.5864
15.304,4891.2,62.397,-32.452,32.452,740.59,0,0,2.1794,0.5864
15.314,4891.9,62.072,-32.448,32.448,740.59,0,0,2.1567,0.58639
15.324,4892.5,61.748,-32.445,32.445,740.59,0,0,2.1342,0.58639
15.334,4893.1,61.423,-32.441,32.441,740.59,0,0,2.1117,0.58638
15.344,4893.7,61.099,-32.438,32.438,740.59,0,0,2.0894,0.58638
15.354,4894.3,60.775,-32.434,32.434,740.59,0,0,2.0673,0.58638
15.364,4894.9,60.45,-32.431,32.431,740.59,0,0,2.0452,0.58637
15.374,4895.5,60.126,-32.428,32.428,740.59,0,0,2.0233,0.58637
15.384,4896.1,59.802,-32.424,32.424,740.59,0,0,2.0014,0.58636
15.394,4896.7,59.478,-32.421,32.421,740.59,0,0,1.9798,0.58636
15.404,4897.3,59.153,-32.417,32.417,740.59,0,0,1.9582,0.58635
15.414,4897.9,58.829,-32.414,32.414,740.59,0,0,1.9367,0.58635
15.424,4898.5,58.505,-32.411,32.411,740.59,0,0,1.9154,0.58634
15.434,4899.1,58.181,-32.407,32.407,740.59,0,0,1.8942,0.58634
15.444,4899.6,57.857,-32.404,32.404,740.59,0,0,1.8731,0.58633
15.454,4900.2,57.533,-32.401,32.401,740.59,0,0,1.8521,0.58633
15.464,4900.8,57.209,-32.398,32.398,740.59,0,0,1.8313,0.58632
15.474,4901.4,56.885,-32.394,32.394,740.59,0,0,1.8106,0.58632
15.484,4901.9,56.561,-32.391,32.391,740.59,0,0,1.79,0.58631
15.494,4902.5,56.237,-32.388,32.388,740.59,0,0,1.7695,0.58631
15.504,4903.1,55.913,-32.385,32.385,740.59,0,0,1.7491,0.5863
15.514,4903.6,55.59,-32.382,32.382,740.59,0,0,1.7289,0.5863
15.524,4904.2,55.266,-32.378,32.378,740.59,0,0,1.7088,0.5863
15.534,4904.7,54.942,-32.375,32.375,740.59,0,0,1.6888,0.58629
15.544,4905.3,54.618,-32.372,32.372,740.59,0,0,1.6689,0.58629
15.554,4905.8,54.294,-32.369,32.369,740.59,0,0,1.6491,0.58628
15.564,4906.4,53.971,-32.366,32.366,740.59,0,0,1.6295,0.58628
15.574,4906.9,53.647,-32.363,32.363,740.59,0,0,1.6099,0.58627
15.584,4907.4,53.324,-32.36,32.36,740.59,0,0,1.5905,0.58627
15.594,4908,53,-32.357,32.357,740.59,0,0,1.5713,0.58627
15.604,4908.5,52.676,-32.354,32.354,740.59,0,0,1.5521,0.58626
15.614,4909,52.353,-32.351,32.351,740.59,0,0,1.5331,0.58626
15.624,4909.5,52.029,-32.348,32.348,740.59,0,0,1.5142,0.58625
15.634,4910.1,51.706,-32.345,32.345,740.59,0,0,1.4954,0.58625
15.644,4910.6,51.383,-32.342,32.342,740.59,0,0,1.4767,0.58624
15.654,4911.1,51.059,-32.339,32.339,740.59,0,0,1.4581,0.58624
15.664,4911.6,50.736,-32.336,32.336,740.59,0,0,1.4397,0.58624
15.674,4912.1,50.412,-32.333,32.333,740.59,0,0,1.4213,0.58623
15.684,4912.6,50.089,-32.331,32.331,740.59,0,0,1.4031,0.58623
15.694,4913.1,49.766,-32.328,32.328,740.59,0,0,1.3851,0.58622
15.704,4913.6,49.443,-32.325,32.325,740.59,0,0,1.3671,0.58622
15.714,4914.1,49.119,-32.322,32.322,740.59,0,0,1.3493,0.58622
15.724,4914.6,48.796,-32.319,32.319,740.59,0,0,1.3315,0.58621
15.734,4915.1,48.473,-32.317,32.317,740.59,0,0,1.3139,0.58621
15.744,4915.5,48.15,-32.314,32.314,740.59,0,0,1.2964,0.5862
15.754,4916,47.827,-32.311,32.311,740.59,0,0,1.2791,0.5862
15.764,4916.5,47.504,-32.308,32.308,740.59,0,0,1.2618,0.5862
15.774,4917,47.18,-32.306,32.306,740.59,0,0,1.2447,0.58619
15.784,4917.4,46.857,-32.303,32.303,740.59,0,0,1.2277,0.58619
15.794,4917.9,46.534,-32.301,32.301,740.59,0,0,1.2108,0.58619
15.804,4918.4,46.211,-32.298,32.298,740.59,0,0,1.194,0.58618
15.814,4918.8,45.888,-32.295,32.295,740.59,0,0,1.1774,0.58618
15.824,4919.3,45.565,-32.293,32.293,740.59,0,0,1.1611,0.5863
15.834,4919.8,45.243,-32.29,32.29,740.59,0,0,1.1455,0.58673
15.844,4920.2,44.92,-32.288,32.288,740.59,0,0,1.1301,0.58716
15.854,4920.6,44.597,-32.285,32.285,740.59,0,0,1.1147,0.58759
15.864,4921.1,44.274,-32.283,32.283,740.59,0,0,1.0994,0.58803
15.874,4921.5,43.951,-32.281,32.281,740.59,0,0,1.0842,0.58847
15.884,4922,43.628,-32.278,32.278,740.59,0,0,1.0692,0.58892
15.894,4922.4,43.306,-32.276,32.276,740.59,0,0,1.0542,0.58937
15.904,4922.8,42.983,-32.274,32.274,740.59,0,0,1.0394,0.58983
15.914,4923.3,42.66,-32.271,32.271,740.59,0,0,1.0246,0.59029
15.924,4923.7,42.337,-32.269,32.269,740.59,0,0,1.0099,0.59075
15.934,4924.1,42.015,-32.267,32.267,740.59,0,0,0.99539,0.59122
15.944,4924.5,41.692,-32.265,32.265,740.59,0,0,0.98094,0.5917
15.954,4924.9,41.369,-32.262,32.262,740.59,0,0,0.9666,0.59218
15.964,4925.4,41.047,-32.26,32.26,740.59,0,0,0.95235,0.59266
15.974,4925.8,40.724,-32.258,32.258,740.59,0,0,0.93821,0.59315
15.984,4926.2,40.402,-32.256,32.256,740.59,0,0,0.92417,0.59364
15.994,4926.6,40.079,-32.254,32.254,740.59,0,0,0.91023,0.59414
16.004,4927,39.757,-32.251,32.251,740.59,0,0,0.89639,0.59464
16.014,4927.4,39.434,-32.249,32.249,740.59,0,0,0.88266,0.59515
16.024,4927.8,39.112,-32.247,32.247,740.59,0,0,0.86903,0.59567
16.034,4928.2,38.789,-32.245,32.245,740.59,0,0,0.8555,0.59619
16.044,4928.5,38.467,-32.243,32.243,740.59,0,0,0.84208,0.59671
16.054,4928.9,38.144,-32.241,32.241,740.59,0,0,0.82875,0.59724
16.064,4929.3,37.822,-32.239,32.239,740.59,0,0,0.81553,0.59778
16.074,4929.7,37.5,-32.237,32.237,740.59,0,0,0.80242,0.59832
16.084,4930.1,37.177,-32.235,32.235,740.59,0,0,0.7894,0.59887
16.094,4930.4,36.855,-32.233,32.233,740.59,0,0,0.77649,0.59942
16.104,4930.8,36.532,-32.231,32.231,740.59,0,0,0.76368,0.59999
16.114,4931.2,36.21,-32.229,32.229,740.59,0,0,0.75097,0.60055
16.124,4931.5,35.888,-32.227,32.227,740.59,0,0,0.73837,0.60113
16.134,4931.9,35.566,-32.225,32.225,740.59,0,0,0.72587,0.60171
16.144,4932.2,35.243,-32.223,32.223,740.59,0,0,0.71347,0.60229
16.154,4932.6,34.921,-32.221,32.221,740.59,0,0,0.70118,0.60289
16.164,4932.9,34.599,-32.219,32.219,740.59,0,0,0.68899,0.60349
16.174,4933.3,34.277,-32.217,32.217,740.59,0,0,0.6769,0.6041
16.184,4933.6,33.955,-32.215,32.215,740.59,0,0,0.66492,0.60471
16.194,4933.9,33.633,-32.213,32.213,740.59,0,0,0.65303,0.60534
16.204,4934.3,33.31,-32.211,32.211,740.59,0,0,0.64126,0.60597
16.214,4934.6,32.988,-32.21,32.21,740.59,0,0,0.62958,0.60661
16.224,4934.9,32.666,-32.208,32.208,740.59,0,0,0.61801,0.60725
16.234,4935.3,32.344,-32.206,32.206,740.59,0,0,0.60654,0.60791
16.244,4935.6,32.022,-32.204,32.204,740.59,0,0,0.59518,0.60857
16.254,4935.9,31.7,-32.202,32.202,740.59,0,0,0.58392,0.60924
16.264,4936.2,31.378,-32.201,32.201,740.59,0,0,0.57276,0.60992
16.274,4936.5,31.056,-32.199,32.199,740.59,0,0,0.5617,0.61061
16.284,4936.8,30.734,-32.197,32.197,740.59,0,0,0.55075,0.61131
16.294,4937.1,30.412,-32.196,32.196,740.59,0,0,0.53991,0.61202
16.304,4937.5,30.09,-32.194,32.194,740.59,0,0,0.52916,0.61274
16.314,4937.8,29.768,-32.192,32.192,740.59,0,0,0.51852,0.61347
16.324,4938,29.446,-32.191,32.191,740.59,0,0,0.50799,0.61421
16.334,4938.3,29.124,-32.189,32.189,740.59,0,0,0.49756,0.61496
16.344,4938.6,28.803,-32.187,32.187,740.59,0,0,0.48723,0.61572
16.354,4938.9,28.481,-32.186,32.186,740.59,0,0,0.47701,0.61649
16.364,4939.2,28.159,-32.184,32.184,740.59,0,0,0.46689,0.61727
16.374,4939.5,27.837,-32.183,32.183,740.59,0,0,0.45688,0.61806
16.384,4939.8,27.515,-32.181,32.181,740.59,0,0,0.44697,0.61887
16.394,4940,27.193,-32.18,32.18,740.59,0,0,0.43716,0.61968
16.404,4940.3,26.872,-32.178,32.178,740.59,0,0,0.42746,0.62051
16.414,4940.6,26.55,-32.176,32.177,740.59,0,0,0.41786,0.62136
16.424,4940.8,26.228,-32.175,32.175,740.59,0,0,0.40837,0.62221
16.434,4941.1,25.906,-32.174,32.174,740.59,0,0,0.39898,0.62308
16.444,4941.3,25.585,-32.172,32.172,740.59,0,0,0.3897,0.62397
16.454,4941.6,25.263,-32.171,32.171,740.59,0,0,0.38052,0.62486
16.464,4941.9,24.941,-32.169,32.169,740.59,0,0,0.37145,0.62578
16.474,4942.1,24.619,-32.168,32.168,740.59,0,0,0.36248,0.62671
16.484,4942.3,24.298,-32.166,32.166,740.59,0,0,0.35362,0.62765
16.494,4942.6,23.976,-32.165,32.165,740.59,0,0,0.34486,0.62861
16.504,4942.8,23.654,-32.164,32.164,740.59,0,0,0.33621,0.62959
16.514,4943.1,23.333,-32.162,32.162,740.59,0,0,0.32767,0.63058
16.524,4943.3,23.011,-32.161,32.161,740.59,0,0,0.31923,0.63159
16.534,4943.5,22.69,-32.16,32.16,740.59,0,0,0.31089,0.63262
16.544,4943.7,22.368,-32.158,32.158,740.59,0,0,0.30266,0.63367
16.554,4944,22.046,-32.157,32.157,740.59,0,0,0.29454,0.63474
16.564,4944.2,21.725,-32.156,32.156,740.59,0,0,0.28652,0.63583
16.574,4944.4,21.403,-32.155,32.155,740.59,0,0,0.27861,0.63694
16.584,4944.6,21.082,-32.154,32.154,740.59,0,0,0.27081,0.63807
16.594,4944.8,20.76,-32.152,32.152,740.59,0,0,0.26311,0.63923
16.604,4945,20.439,-32.151,32.151,740.59,0,0,0.25552,0.64041
16.614,4945.2,20.117,-32.15,32.15,740.59,0,0,0.24803,0.64161
16.624,4945.4,19.796,-32.149,32.149,740.59,0,0,0.24065,0.64284
16.634,4945.6,19.474,-32.148,32.148,740.59,0,0,0.23338,0.64409
16.644,4945.8,19.153,-32.147,32.147,740.59,0,0,0.22622,0.64537
16.654,4946,18.831,-32.145,32.145,740.59,0,0,0.21916,0.64668
16.664,4946.2,18.51,-32.144,32.144,740.59,0,0,0.21221,0.64802
16.674,4946.4,18.188,-32.143,32.143,740.59,0,0,0.20537,0.64938
16.684,4946.6,17.867,-32.142,32.142,740.59,0,0,0.19863,0.65078
16.694,4946.7,17.546,-32.141,32.141,740.59,0,0,0.192,0.65222
16.704,4946.9,17.224,-32.14,32.14,740.59,0,0,0.18548,0.65368
16.714,4947.1,16.903,-32.139,32.139,740.59,0,0,0.17907,0.65519
16.724,4947.3,16.581,-32.138,32.138,740.59,0,0,0.17277,0.65673
16.734,4947.4,16.26,-32.137,32.137,740.59,0,0,0.16657,0.65831
16.744,4947.6,15.939,-32.136,32.136,740.59,0,0,0.16049,0.65993
16.754,4947.7,15.617,-32.135,32.135,740.59,0,0,0.15451,0.66159
16.764,4947.9,15.296,-32.134,32.134,740.59,0,0,0.14864,0.6633
16.774,4948,14.975,-32.134,32.134,740.59,0,0,0.14288,0.66506
16.784,4948.2,14.653,-32.133,32.133,740.59,0,0,0.13723,0.66686
16.794,4948.3,14.332,-32.132,32.132,740.59,0,0,0.13169,0.66872
16.804,4948.5,14.011,-32.131,32.131,740.59,0,0,0.12626,0.67063
16.814,4948.6,13.689,-32.13,32.13,740.59,0,0,0.12094,0.6726
16.824,4948.7,13.368,-32.129,32.129,740.59,0,0,0.11573,0.67463
16.834,4948.9,13.047,-32.128,32.128,740.59,0,0,0.11063,0.67673
16.844,4949,12.726,-32.128,32.128,740.59,0,0,0.10564,0.6789
16.854,4949.1,12.404,-32.127,32.127,740.59,0,0,0.10077,0.68113
16.864,4949.3,12.083,-32.126,32.126,740.59,0,0,0.095999,0.68345
16.874,4949.4,11.762,-32.125,32.125,740.59,0,0,0.091344,0.68584
16.884,4949.5,11.44,-32.125,32.125,740.59,0,0,0.0868,0.68833
16.894,4949.6,11.119,-32.124,32.124,740.59,0,0,0.082368,0.6909
16.904,4949.7,10.798,-32.123,32.123,740.59,0,0,0.078049,0.69358
16.914,4949.8,10.477,-32.123,32.123,740.59,0,0,0.073842,0.69636
16.924,4949.9,10.156,-32.122,32.122,740.59,0,0,0.069748,0.69925
16.934,4950,9.8343,-32.121,32.121,740.59,0,0,0.065767,0.70227
16.944,4950.1,9.5131,-32.121,32.121,740.59,0,0,0.0619,0.70542
16.954,4950.2,9.1919,-32.12,32.12,740.59,0,0,0.058147,0.70871
16.964,4950.3,8.8707,-32.12,32.12,740.59,0,0,0.054508,0.71215
16.974,4950.4,8.5495,-32.119,32.119,740.59,0,0,0.050983,0.71577
16.984,4950.5,8.2283,-32.119,32.119,740.59,0,0,0.047574,0.71956
16.994,4950.6,7.9071,-32.118,32.118,740.59,0,0,0.04428,0.72356
17.004,4950.6,7.5859,-32.118,32.118,740.59,0,0,0.041101,0.72777
17.014,4950.7,7.2648,-32.117,32.117,740.59,0,0,0.038039,0.73223
17.024,4950.8,6.9436,-32.117,32.117,740.59,0,0,0.035094,0.73695
17.034,4950.8,6.6224,-32.116,32.116,740.59,0,0,0.032265,0.74197
17.044,4950.9,6.3013,-32.116,32.116,740.59,0,0,0.029554,0.74731
17.054,4951,5.9801,-32.115,32.115,740.59,0,0,0.026961,0.75303
17.064,4951,5.659,-32.115,32.115,740.59,0,0,0.024486,0.75917
17.074,4951.1,5.3378,-32.115,32.115,740.59,0,0,0.02213,0.76579
17.084,4951.1,5.0167,-32.114,32.114,740.59,0,0,0.019893,0.77295
17.094,4951.2,4.6955,-32.114,32.114,740.59,0,0,0.017776,0.78074
17.104,4951.2,4.3744,-32.114,32.114,740.59,0,0,0.015778,0.78926
17.114,4951.3,4.0533,-32.113,32.113,740.59,0,0,0.013899,0.79865
17.124,4951.3,3.7321,-32.113,32.113,740.59,0,0,0.01214,0.80906
17.134,4951.3,3.411,-32.113,32.113,740.59,0,0,0.010499,0.82072
17.144,4951.4,3.0899,-32.113,32.113,740.59,0,0,0.0089755,0.8339
17.154,4951.4,2.7687,-32.112,32.112,740.59,0,0,0.0075658,0.84899
17.164,4951.4,2.4476,-32.112,32.112,740.59,0,0,0.0062653,0.8665
17.174,4951.5,2.1265,-32.112,32.112,740.59,0,0,0.0050643,0.8872
17.184,4951.5,1.8054,-32.112,32.112,740.59,0,0,0.0039451,0.9122
17.194,4951.5,1.4843,-32.112,32.112,740.59,0,0,0.0028776,0.94319
17.204,4951.5,1.1631,-32.112,32.112,740.59,0,0,0.0018988,0.98285
17.214,4951.5,0.84203,-32.111,32.111,740.59,0,0,0.0010509,1.0352
17.224,4951.5,0.52092,-32.111,32.111,740.59,0,0,3.9205e-4,1.1043
17.234,4951.5,0.1998,-32.111,32.111,740.59,0,0,3.8397e-5,1.1787
17.244,4951.5,-0.12131,-32.111,32.111,740.59,0,0,-6.9684e-6,1.1909
17.254,4951.5,-0.44242,-32.111,32.111,740.59,0,0,-2.4517e-4,1.1234
17.264,4951.5,-0.76353,-32.111,32.111,740.59,0,0,-8.2329e-4,1.0505
17.274,4951.5,-1.0846,-32.111,32.111,740.59,0,0,-0.0016296,0.9943
17.284,4951.5,-1.4058,-32.111,32.111,740.59,0,0,-0.0025968,0.95196
17.294,4951.5,-1.7269,-32.111,32.111,740.59,0,0,-0.0036942,0.91915
17.346,4951.4,-3.3994,-32.086,32.086,740.59,0,0,0.16784,NaN
17.398,4951.1,-5.0398,-32.02,32.02,740.59,0,0,0.59077,NaN
17.449,4950.8,-6.6802,-31.912,31.912,740.59,0,0,1.2827,NaN
17.501,4950.4,-8.3206,-31.762,31.762,740.59,0,0,2.2436,NaN
17.553,4950,-9.9611,-31.57,31.57,740.59,0,0,3.4736,NaN
17.605,4949.4,-11.601,-31.335,31.335,740.59,0,0,4.9726,NaN
17.658,4948.8,-13.242,-31.059,31.059,740.59,0,0,6.7406,NaN
17.711,4948,-14.882,-30.741,30.741,740.59,0,0,8.7778,NaN
17.765,4947.2,-16.523,-30.38,30.38,740.59,0,0,11.084,NaN
17.82,4946.2,-18.163,-29.978,29.978,740.59,0,0,13.659,NaN
17.875,4945.1,-19.804,-29.533,29.533,740.59,0,0,16.504,NaN
17.932,4944,-21.444,-29.047,29.047,740.59,0,0,19.618,NaN
17.989,4942.7,-23.084,-28.518,28.518,740.59,0,0,23.001,NaN
18.048,4941.3,-24.725,-27.947,27.947,740.59,0,0,26.654,NaN
18.108,4939.8,-26.365,-27.334,27.334,740.59,0,0,30.576,NaN
18.17,4938.1,-28.006,-26.679,26.679,740.59,0,0,34.767,NaN
18.233,4936.3,-29.646,-25.982,25.982,740.59,0,0,39.229,NaN
18.298,4934.3,-31.286,-25.243,25.243,740.59,0,0,43.959,NaN
18.365,4932.1,-32.927,-24.461,24.462,740.59,0,0,48.96,NaN
18.434,4929.8,-34.567,-23.638,23.638,740.59,0,0,54.231,NaN
18.506,4927.3,-36.208,-22.772,22.772,740.59,0,0,59.772,NaN
18.581,4924.5,-37.848,-21.864,21.864,740.59,0,0,65.583,NaN
18.66,4921.4,-39.488,-20.913,20.914,740.59,0,0,71.665,NaN
18.742,4918.1,-41.129,-19.921,19.921,740.59,0,0,78.017,NaN
18.829,4914.5,-42.769,-18.886,18.886,740.59,0,0,84.641,NaN
18.921,4910.5,-44.41,-17.808,17.809,740.59,0,0,91.537,NaN
19.019,4906,-46.05,-16.688,16.689,740.59,0,0,98.704,NaN
19.125,4901.1,-47.69,-15.525,15.526,740.59,0,0,106.14,NaN
19.24,4895.5,-49.331,-14.32,14.321,740.59,0,0,113.86,NaN
19.365,4889.2,-50.971,-13.072,13.073,740.59,0,0,121.85,NaN
19.504,4882,-52.611,-11.781,11.781,740.59,0,0,130.11,NaN
19.661,4873.6,-54.252,-10.446,10.447,740.59,0,0,138.65,NaN
19.842,4863.7,-55.892,-9.0684,9.0692,740.59,0,0,147.46,NaN
20.057,4851.5,-57.532,-7.6464,7.6473,740.59,0,0,156.56,NaN
20.322,4836,-59.172,-6.1797,6.1807,740.59,0,0,165.95,NaN
20.673,4814.9,-60.812,-4.667,4.668,740.59,0,0,175.63,NaN
21.173,4784.1,-62.365,-3.1056,3.1068,740.59,0,0,185.62,NaN
21.673,4752.7,-63.153,-1.5764,1.5778,740.59,0,0,195.41,NaN
22.173,4721.1,-63.538,-0.76931,0.77099,740.59,0,0,200.57,NaN
22.673,4689.3,-63.716,-0.35533,0.35741,740.59,0,0,203.22,NaN
23.173,4657.4,-63.789,-0.14616,0.14901,740.59,0,0,204.56,NaN
23.673,4625.5,-63.809,-0.041341,0.046732,740.59,0,0,205.24,NaN
24.173,4593.6,-63.804,0.010927,0.019644,740.59,0,0,205.57,NaN
24.673,4561.7,-63.785,0.036892,0.038862,740.59,0,0,205.74,NaN
25.173,4529.8,-63.761,0.049733,0.050566,740.59,0,0,205.82,NaN
25.673,4497.9,-63.733,0.05604,0.056455,740.59,0,0,205.86,NaN
26.173,4466.1,-63.703,0.059097,0.059317,740.59,0,0,205.88,NaN
26.673,4434.2,-63.673,0.060539,0.060658,740.59,0,0,205.89,NaN
27.173,4402.4,-63.642,0.061179,0.061245,740.59,0,0,205.9,NaN
27.673,4370.6,-63.611,0.061422,0.061458,740.59,0,0,205.9,NaN
28.173,4338.8,-63.581,0.061467,0.061487,740.59,0,0,205.9,NaN
28.673,4307,-63.55,0.061416,0.061427,740.59,0,0,205.9,NaN
29.173,4275.2,-63.519,0.061316,0.061322,740.59,0,0,205.9,NaN
29.673,4243.5,-63.489,0.061193,0.061196,740.59,0,0,205.9,NaN
30.173,4211.7,-63.458,0.061058,0.06106,740.59,0,0,205.9,NaN
30.673,4180,-63.428,0.060919,0.06092,740.59,0,0,205.9,NaN
31.173,4148.3,-63.397,0.060777,0.060777,740.59,0,0,205.9,NaN
31.673,4116.6,-63.367,0.060634,0.060634,740.59,0,0,205.9,NaN
32.173,4084.9,-63.337,0.060491,0.060491,740.59,0,0,205.9,NaN
32.673,4053.3,-63.307,0.060348,0.060348,740.59,0,0,205.9,NaN
33.173,4021.6,-63.277,0.060206,0.060206,740.59,0,0,205.9,NaN
33.673,3990,-63.247,0.060064,0.060064,740.59,0,0,205.9,NaN
34.173,3958.4,-63.217,0.059922,0.059922,740.59,0,0,205.9,NaN
34.673,3926.8,-63.187,0.059781,0.059781,740.59,0,0,205.9,NaN
35.173,3895.2,-63.157,0.059641,0.059641,740.59,0,0,205.9,NaN
35.673,3863.6,-63.127,0.059501,0.059501,740.59,0,0,205.9,NaN
36.173,3832.1,-63.097,0.059362,0.059362,740.59,0,0,205.9,NaN
36.673,3800.5,-63.068,0.059224,0.059224,740.59,0,0,205.9,NaN
37.173,3769,-63.038,0.059086,0.059086,740.59,0,0,205.89,NaN
37.673,3737.5,-63.009,0.058948,0.058948,740.59,0,0,205.89,NaN
38.173,3706,-62.979,0.058811,0.058811,740.59,0,0,205.89,NaN
38.673,3674.5,-62.95,0.058675,0.058675,740.59,0,0,205.89,NaN
39.173,3643.1,-62.921,0.058539,0.058539,740.59,0,0,205.89,NaN
39.673,3611.6,-62.892,0.058403,0.058403,740.59,0,0,205.89,NaN
40.173,3580.2,-62.862,0.058269,0.058269,740.59,0,0,205.89,NaN
40.673,3548.7,-62.833,0.058134,0.058134,740.59,0,0,205.89,NaN
41.173,3517.3,-62.804,0.058,0.058,740.59,0,0,205.89,NaN
41.673,3485.9,-62.775,0.057867,0.057867,740.59,0,0,205.89,NaN
42.173,3454.6,-62.747,0.057734,0.057734,740.59,0,0,205.89,NaN
42.673,3423.2,-62.718,0.057602,0.057602,740.59,0,0,205.89,NaN
43.173,3391.8,-62.689,0.057471,0.057471,740.59,0,0,205.89,NaN
43.673,3360.5,-62.66,0.057339,0.057339,740.59,0,0,205.89,NaN
44.173,3329.2,-62.632,0.057209,0.057209,740.59,0,0,205.89,NaN
